sample_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	SubjectID	Location	SampleType	SampleCollectionWeek
N08_2_3	-0.9606911451038137	1.3633861912155727	-4.993875985937746	0.8011759801303732	-0.38788063550229906	0.027625987527658893	0.08749278508055787	-1.1525258729961227	0.005596267892454817	-0.3477450796020337	ZJH_N08	ZCH	Groin	Week.3
N08_2_4	12.152066566518252	-4.549570332754405	-3.4348928636300173	-0.25150331177643037	1.6572936739025836	-1.2419742998635839	0.42714751799273537	-4.601307253350473	-0.14674930514601167	0.6577911362848652	N08	UCMC	Stool	Week.3
N08_2_4	12.152066566518252	-4.549570332754405	-3.4348928636300173	-0.25150331177643037	1.6572936739025836	-1.2419742998635839	0.42714751799273537	-4.601307253350473	-0.14674930514601167	0.6577911362848652	ZJH_N08	ZCH	Stool	Week.3
N09_1_2	-7.550077903115014	-2.4964999219271506	4.3652497953004925	4.834303582597569	-6.253308561075492	-0.21373994454837145	8.946358920193175	-1.9830946648150551	-2.424719803112454	2.169810526907354	N09	UCMC	Axilla	Week.1
N09_1_2	-7.550077903115014	-2.4964999219271506	4.3652497953004925	4.834303582597569	-6.253308561075492	-0.21373994454837145	8.946358920193175	-1.9830946648150551	-2.424719803112454	2.169810526907354	ZJH_N09	ZCH	Axilla	Week.1
N09_1_3	-6.641686836685804	0.9571104759641555	-0.7280233868230229	2.5279378339247125	-2.7017723100431263	1.2402626662521035	4.905209809637157	-0.48468676664336025	0.07385240282838688	1.8250479635418855	N09	UCMC	Groin	Week.1
N09_1_3	-6.641686836685804	0.9571104759641555	-0.7280233868230229	2.5279378339247125	-2.7017723100431263	1.2402626662521035	4.905209809637157	-0.48468676664336025	0.07385240282838688	1.8250479635418855	ZJH_N09	ZCH	Groin	Week.1
N09_1_4	-8.637767930925174	5.045385918069469	-5.764765935473467	1.8923542172598435	-0.5944835432306346	0.26335886515374146	0.9956995408198805	0.2429253413804133	0.22840959692734072	0.0604230315560934	N09	UCMC	Stool	Week.1
N09_2_2	-7.4676942182857	3.479071232168502	-3.7934999442202813	0.857248541676208	0.01679836713559622	-0.3105680636076711	0.3953227929153189	0.3549356962362304	0.03433522852021989	-0.07264096042238645	N09	UCMC	Axilla	Week.3
N09_2_2	-7.4676942182857	3.479071232168502	-3.7934999442202813	0.857248541676208	0.01679836713559622	-0.3105680636076711	0.3953227929153189	0.3549356962362304	0.03433522852021989	-0.07264096042238645	ZJH_N09	ZCH	Axilla	Week.3
N09_2_3	-8.487913211726111	4.944246793615076	-5.575514028807258	1.695226015129869	-0.5338477059762282	0.09225250805114839	0.7881466868478577	0.17044248389123465	-0.09033465986596359	-0.2967433026385972	N09	UCMC	Groin	Week.3
N09_2_4	12.628499675742672	-4.54334754381633	-2.902990388044353	1.9928413883460077	-2.226141034787899	-0.11005793945978423	2.338833380859984	-5.600569782061545	-1.8152686254261896	-0.3325707978240933	N09	UCMC	Stool	Week.3
N09_2_4	12.628499675742672	-4.54334754381633	-2.902990388044353	1.9928413883460077	-2.226141034787899	-0.11005793945978423	2.338833380859984	-5.600569782061545	-1.8152686254261896	-0.3325707978240933	ZJH_N09	ZCH	Stool	Week.3
N10_1_2	-7.295016648747884	2.625747529169513	-3.00078733199252	0.1547772783984896	-0.0026599054999346767	0.30461349378695424	-0.05476400968617117	0.21401558165257029	0.17388461671192595	-0.008091599915264251	N10	UCMC	Axilla	Week.1
N10_1_2	-7.295016648747884	2.625747529169513	-3.00078733199252	0.1547772783984896	-0.0026599054999346767	0.30461349378695424	-0.05476400968617117	0.21401558165257029	0.17388461671192595	-0.008091599915264251	ZJH_N10	ZCH	Axilla	Week.1
N10_1_3	3.1375290594187404	0.7331307380912306	-0.42311160059162506	-1.953606973762161	1.5705558185330004	4.21577550891613	0.192616092760724	-0.674794415116692	1.0759210986887577	-3.6783001991841773	N10	UCMC	Groin	Week.1
N10_1_4	1.4534136188589395	-1.0002258617150854	3.884294196841498	-3.0663912284511396	0.11781593287898642	0.8364086461065708	-1.8537703195829944	-2.01253665637201	-1.6311056626064848	-5.2349937414325804	N10	UCMC	Stool	Week.1
N10_1_4	1.4534136188589395	-1.0002258617150854	3.884294196841498	-3.0663912284511396	0.11781593287898642	0.8364086461065708	-1.8537703195829944	-2.01253665637201	-1.6311056626064848	-5.2349937414325804	ZJH_N10	ZCH	Stool	Week.1
N10_2_2	-6.948392238286468	1.5240555108941138	-1.5794954929940086	-0.810495476134564	0.31678037150507865	-0.33666407670592635	-0.5061661534836318	-0.028866448245352398	0.2908100638469877	0.7545255564421611	N10	UCMC	Axilla	Week.3
N10_2_2	-6.948392238286468	1.5240555108941138	-1.5794954929940086	-0.810495476134564	0.31678037150507865	-0.33666407670592635	-0.5061661534836318	-0.028866448245352398	0.2908100638469877	0.7545255564421611	ZJH_N10	ZCH	Axilla	Week.3
N10_2_3	-0.6580134431360168	0.40029375260367606	1.5902374062512528	-2.317228262974588	2.1237710706502964	-0.8153051999565641	0.236021953068709	-2.5154793122238024	8.421372228059226	-5.747994370174186	N10	UCMC	Groin	Week.3
N10_2_3	-0.6580134431360168	0.40029375260367606	1.5902374062512528	-2.317228262974588	2.1237710706502964	-0.8153051999565641	0.236021953068709	-2.5154793122238024	8.421372228059226	-5.747994370174186	ZJH_N10	ZCH	Groin	Week.3
N10_2_4	0.30123570126923627	1.2152088274784263	0.4310423847241992	-1.647061862413165	2.668201594611074	-1.053985516983956	1.181960417312988	-2.916479188165746	11.395276600357008	-5.807645278309808	N10	UCMC	Stool	Week.3
N10_2_4	0.30123570126923627	1.2152088274784263	0.4310423847241992	-1.647061862413165	2.668201594611074	-1.053985516983956	1.181960417312988	-2.916479188165746	11.395276600357008	-5.807645278309808	ZJH_N10	ZCH	Stool	Week.3
N11_1_2	-4.4597353500237675	-0.23436131328212878	-1.002580443904732	-2.384287921775508	1.4740749795168828	4.062377791358502	-0.1988718783696566	1.2217327170391161	1.0066949842271722	-0.30391999179555745	N11	UCMC	Axilla	Week.1
N11_1_2	-4.4597353500237675	-0.23436131328212878	-1.002580443904732	-2.384287921775508	1.4740749795168828	4.062377791358502	-0.1988718783696566	1.2217327170391161	1.0066949842271722	-0.30391999179555745	ZJH_N11	ZCH	Axilla	Week.1
N11_1_3	-8.358069190935673	3.337938808340902	-3.599097702533766	0.6600234767898625	-0.5701698009877774	-0.05720057326877743	0.08246528120527064	0.38243213590008307	-0.6053144340348474	-0.8007602630301108	N11	UCMC	Groin	Week.1
N11_1_3	-8.358069190935673	3.337938808340902	-3.599097702533766	0.6600234767898625	-0.5701698009877774	-0.05720057326877743	0.08246528120527064	0.38243213590008307	-0.6053144340348474	-0.8007602630301108	ZJH_N11	ZCH	Groin	Week.1
N11_1_4	-4.863413416264415	-3.6492361760596785	6.611693624667588	-4.758568367817975	0.6682961524533813	-1.9538567835478013	-3.4022507877848835	0.005520647817958203	1.5999097888029516	1.033503117410774	N11	UCMC	Stool	Week.1
N11_1_4	-4.863413416264415	-3.6492361760596785	6.611693624667588	-4.758568367817975	0.6682961524533813	-1.9538567835478013	-3.4022507877848835	0.005520647817958203	1.5999097888029516	1.033503117410774	ZJH_N11	ZCH	Stool	Week.1
N11_2_2	-4.933758495797971	-0.6380130760647948	-0.06303564194775248	-2.418936853834005	1.3273745075518488	1.5028958936652572	-0.7321377895844416	0.45865253778571535	0.8545457811616114	1.3153528885564507	N11	UCMC	Axilla	Week.3
N11_2_2	-4.933758495797971	-0.6380130760647948	-0.06303564194775248	-2.418936853834005	1.3273745075518488	1.5028958936652572	-0.7321377895844416	0.45865253778571535	0.8545457811616114	1.3153528885564507	ZJH_N11	ZCH	Axilla	Week.3
N11_2_3	9.606577074015515	-2.12844331559221	-2.485828661173156	0.3521215378478227	1.457984904380977	-0.26248171332365244	-0.1892843807350296	3.1806178268645056	-0.4262506044142243	0.3024975082210899	N11	UCMC	Groin	Week.3
N11_2_3	9.606577074015515	-2.12844331559221	-2.485828661173156	0.3521215378478227	1.457984904380977	-0.26248171332365244	-0.1892843807350296	3.1806178268645056	-0.4262506044142243	0.3024975082210899	ZJH_N11	ZCH	Groin	Week.3
N11_2_4	14.647133656802687	-1.64568889372461	-2.5027796820025543	1.4081906834781723	1.8884738501630267	-1.7953017669700946	0.4213353592851034	2.79997259024712	-1.444688948350728	-1.5837632544550782	N11	UCMC	Stool	Week.3
N11_2_4	14.647133656802687	-1.64568889372461	-2.5027796820025543	1.4081906834781723	1.8884738501630267	-1.7953017669700946	0.4213353592851034	2.79997259024712	-1.444688948350728	-1.5837632544550782	ZJH_N11	ZCH	Stool	Week.3
N12_1_2	-5.387464728064048	-2.7160209052383912	3.5620844465977584	-3.738755196076315	0.12989659304197576	-0.9082624199862875	-2.5584617559073175	0.40433256518924543	-0.32851867919267164	-0.2427863190638144	N12	UCMC	Axilla	Week.1
N12_1_2	-5.387464728064048	-2.7160209052383912	3.5620844465977584	-3.738755196076315	0.12989659304197576	-0.9082624199862875	-2.5584617559073175	0.40433256518924543	-0.32851867919267164	-0.2427863190638144	ZJH_N12	ZCH	Axilla	Week.1
N12_1_3	-0.4634228086615085	1.0011710951432984	-3.822513503026126	0.19828652730454613	-0.3666239816550645	0.49010404372070965	-0.9735057062731578	0.5049302823228998	1.381476344124662	0.755590433228171	N12	UCMC	Groin	Week.1
N12_1_3	-0.4634228086615085	1.0011710951432984	-3.822513503026126	0.19828652730454613	-0.3666239816550645	0.49010404372070965	-0.9735057062731578	0.5049302823228998	1.381476344124662	0.755590433228171	ZJH_N12	ZCH	Groin	Week.1
N12_1_4	-0.3037496299270547	1.5237815875645326	-4.236428671619417	0.26144862413483216	-0.48471445273965635	0.6776303959979038	-0.8915066070754761	0.05650557686540672	1.250773775424652	0.816035261564489	N12	UCMC	Stool	Week.1
N12_1_4	-0.3037496299270547	1.5237815875645326	-4.236428671619417	0.26144862413483216	-0.48471445273965635	0.6776303959979038	-0.8915066070754761	0.05650557686540672	1.250773775424652	0.816035261564489	ZJH_N12	ZCH	Stool	Week.1
N13_1_2	-8.497331022227856	4.013045965496064	-4.319803438238525	1.1564743455629607	-0.584403872744295	-0.015309986591542727	0.43767761023788365	0.21684968414388553	-0.35155277928353346	-0.5332223640412843	N13	UCMC	Axilla	Week.1
N13_1_2	-8.497331022227856	4.013045965496064	-4.319803438238525	1.1564743455629607	-0.584403872744295	-0.015309986591542727	0.43767761023788365	0.21684968414388553	-0.35155277928353346	-0.5332223640412843	ZJH_N13	ZCH	Axilla	Week.1
N13_1_3	-5.45385267627711	2.4445872264715054	-4.621524061497312	0.554294504773026	1.1331226850852782	3.8828471935075344	0.6724112190499703	2.023320693210454	1.1266108540806485	-0.20432301878895073	N13	UCMC	Groin	Week.1
N13_1_3	-5.45385267627711	2.4445872264715054	-4.621524061497312	0.554294504773026	1.1331226850852782	3.8828471935075344	0.6724112190499703	2.023320693210454	1.1266108540806485	-0.20432301878895073	ZJH_N13	ZCH	Groin	Week.1
N13_1_4	-8.871196766336023	1.0215448417645716	2.3837581261356457	29.49163918999532	15.223458925950085	7.522072962683877	-17.3564264581667	0.9173895069213752	1.5063702404061219	-1.4016545681300567	N13	UCMC	Stool	Week.1
N13_1_4	-8.871196766336023	1.0215448417645716	2.3837581261356457	29.49163918999532	15.223458925950085	7.522072962683877	-17.3564264581667	0.9173895069213752	1.5063702404061219	-1.4016545681300567	ZJH_N13	ZCH	Stool	Week.1
